"Latitude","Longitude","Query","Size"
40.7815,-73.971825,"Central Park",12
40.7815,-73.971825,"Central Park",11
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",1
40.768056,-73.981079,"Central Park",24
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",13
40.78151,-73.971867,"Central Park",7
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",16
40.772596,-73.97129,"Central Park",8
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",5
40.776948,-73.963489,"Central Park",8
40.768924,-73.975307,"Central Park",1
40.78151,-73.971867,"Central Park",10
40.78151,-73.971867,"Central Park",19
40.775145,-73.968864,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.785089,-73.960475,"Central Park",10
40.764758,-73.972922,"Central Park",5
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",18
40.768924,-73.975307,"Central Park",5
40.764937,-73.987902,"Central Park",4
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",13
40.768924,-73.975307,"Central Park",9
40.750152,-73.990586,"Central Park",5
40.768924,-73.975307,"Central Park",45
40.764787,-73.980791,"Central Park",29
40.783333,-73.966667,"Central Park",13
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",5
40.767367,-73.970736,"Central Park",7
40.781579,-73.960271,"Central Park",3
40.78151,-73.971867,"Central Park",14
40.768924,-73.975307,"Central Park",15
40.768924,-73.975307,"Central Park",12
40.783333,-73.966667,"Central Park",5
40.768924,-73.975307,"Central Park",2
40.78151,-73.971867,"Central Park",12
40.768924,-73.975307,"Central Park",9
40.768112,-73.976763,"Central Park",2
40.768924,-73.975307,"Central Park",5
40.778413,-73.967042,"Central Park",23
40.767367,-73.970736,"Central Park",7
40.776884,-73.975628,"Central Park",12
40.768924,-73.975307,"Central Park",2
40.756537,-73.97818,"Central Park",40
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",20
40.780674,-73.972444,"Central Park",3
40.768924,-73.975307,"Central Park",23
40.775605,-73.971948,"Central Park",13
40.768924,-73.975307,"Central Park",5
40.767635,-73.982345,"Central Park",17
40.768924,-73.975307,"Central Park",6
40.781579,-73.960271,"Central Park",2
40.768924,-73.975307,"Central Park",3
40.781509,-73.961348,"Central Park",6
40.769946,-73.979661,"Central Park",24
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",26
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",38
40.767635,-73.982345,"Central Park",2
40.768924,-73.975307,"Central Park",3
40.78151,-73.971867,"Central Park",11
40.772806,-73.971448,"Central Park",4
40.785089,-73.960475,"Central Park",7
40.78151,-73.971867,"Central Park",31
40.767367,-73.970736,"Central Park",26
40.768924,-73.975307,"Central Park",2
40.774702,-73.975644,"Central Park",6
40.773184,-73.977168,"Central Park",18
40.766952,-73.979112,"Central Park",6
40.778978,-73.970117,"Central Park",6
40.768558,-73.974741,"Central Park",12
40.768924,-73.975307,"Central Park",16
40.770926,-73.982374,"Central Park",1
40.78151,-73.971867,"Central Park",4
40.768924,-73.975307,"Central Park",12
40.764226,-73.973351,"Central Park",4
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",9
40.767367,-73.970736,"Central Park",14
40.75648,-73.99305,"Central Park",9
40.768924,-73.975307,"Central Park",18
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",2
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",22
40.78151,-73.971867,"Central Park",3
40.78151,-73.971867,"Central Park",12
40.768924,-73.975307,"Central Park",16
40.759456,-73.984102,"Central Park",4
40.761383,-73.967215,"Central Park",11
40.768924,-73.975307,"Central Park",21
40.78151,-73.971867,"Central Park",10
40.76635,-73.976744,"Central Park",6
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",10
40.768924,-73.975307,"Central Park",5
40.76635,-73.976744,"Central Park",5
40.76635,-73.976744,"Central Park",9
40.768924,-73.975307,"Central Park",2
40.763665,-73.97738,"Central Park",33
40.762241,-73.974249,"Central Park",7
40.768924,-73.975307,"Central Park",12
40.75636,-73.99304,"Central Park",6
40.768924,-73.975307,"Central Park",18
40.78537,-73.969292,"Central Park",9
40.75876,-73.982782,"Central Park",22
40.768924,-73.975307,"Central Park",20
40.785286,-73.969188,"Central Park",14
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",12
40.766493,-73.979532,"Central Park",18
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",11
40.768924,-73.975307,"Central Park",25
40.759041,-73.979222,"Central Park",5
40.765877,-73.97652,"Central Park",5
40.78151,-73.971867,"Central Park",17
40.768924,-73.975307,"Central Park",1
40.76635,-73.976744,"Central Park",11
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",3
40.768924,-73.975307,"Central Park",1
40.774164,-73.966684,"Central Park",14
40.768924,-73.975307,"Central Park",15
40.76635,-73.976744,"Central Park",10
40.764787,-73.980791,"Central Park",24
40.773553,-73.968107,"Central Park",6
40.768924,-73.975307,"Central Park",5
40.768924,-73.975307,"Central Park",13
40.782234,-73.971137,"Central Park",9
40.768924,-73.975307,"Central Park",3
40.774844,-73.971193,"Central Park",10
40.7764,-73.975948,"Central Park",8
40.773549,-73.971072,"Central Park",6
40.774902,-73.966589,"Central Park",10
40.768403,-73.97469,"Central Park",2
40.768924,-73.975307,"Central Park",16
40.768924,-73.975307,"Central Park",3
40.769549,-73.96985,"Central Park",3
40.775683,-73.972664,"Central Park",5
40.765386,-73.973752,"Central Park",16
40.775824,-73.975386,"Central Park",2
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",17
40.781721,-73.96961,"Central Park",10
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",5
40.767367,-73.970736,"Central Park",16
40.767367,-73.970736,"Central Park",5
40.768924,-73.975307,"Central Park",5
40.766797,-73.979116,"Central Park",4
40.768924,-73.975307,"Central Park",2
40.78151,-73.971867,"Central Park",15
40.781666,-73.965668,"Central Park",15
