half,5819
side,5813
yours,5805
moment,5770
sleep,5747
read,5743
where's,5711
started,5707
young,5680
men,5678
sounds,5665
sonny,5635
lucky,5631
pick,5610
sometimes,5596
em,5590
bed,5589
also,5583
date,5581
line,5564
plan,5557
hours,5503
lose,5459
fire,5452
free,5433
hands,5428
serious,5390
leo,5390
shit,5388
behind,5388
inside,5379
high,5377
ahead,5364
week,5356
wonderful,5341
t,5329
fight,5326
past,5315
cut,5305
quite,5304
number,5289
he'll,5262
sick,5256
s,5255
it'll,5217
game,5212
eat,5202
nobody,5195
goes,5194
death,5165
along,5147
save,5144
seems,5138
finally,5118
lives,5095
worried,5066
upset,5064
theresa,5056
carly,5055
ethan,5033
met,5032
book,5027
brought,5010
seem,5001
sort,5000
safe,4999
living,4999
children,4944
weren't,4896
leaving,4889
front,4868
shot,4866
loved,4851
asking,4851
running,4842
clear,4836
figure,4785
hot,4777
felt,4748
six,4737
parents,4725
drink,4706
absolutely,4704
how's,4652
daddy,4641
sweet,4628
alive,4628
paul,4616
sense,4597
meant,4596
happens,4589
david,4589
special,4573
bet,4548
blood,4542
ain't,4541
kidding,4539
lie,4536
full,4533
meeting,4532
dear,4516
coffee,4499
seeing,4495
sound,4488
fault,4484
water,4469
fuck,4453
ten,4448
women,4441
john,4413
welcome,4373
buy,4345
months,4333
hour,4325
speak,4322
lady,4301
jen,4301
thinks,4298
christmas,4284
body,4271
order,4270
outside,4260
hang,4243
possible,4228
worse,4218
company,4209
mistake,4185
ooh,4184
handle,4181
spend,4175
c,4166
totally,4157
giving,4143
control,4134
here's,4130
marriage,4129
realize,4114
d,4108
power,4094
president,4086
unless,4078
sex,4049
girls,4048
send,4045
needed,4043
o,4030
taken,3997
died,3996
scared,3991
picture,3984
talked,3975
jake,3962
al,3958
ass,3947
hundred,3942
changed,3929
completely,3919
explain,3913
playing,3899
certainly,3895
sign,3890
boys,3888
relationship,3880
michael,3878
loves,3876
fucking,3843
hair,3839
lying,3837
choice,3828
anywhere,3821
secret,3810
future,3798
weird,3797
luck,3792
she'll,3780
max,3773
luis,3773
turned,3770
known,3757
touch,3755
kiss,3750
crane,3744
questions,3741
obviously,3741
wonder,3735
pain,3720
calling,3714
somewhere,3707
