id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
35514,SDFT,small_airport,"Virgulino de Oliveira Airport",-22.414443969726562,-46.80888748168945,2152,SA,BR,BR-SP,Itapira,0,SDFT,,,,,,50,2008-06-24T09:40:26+00:00
35546,SDHE,small_airport,"Fazenda Herdade Airport",-22.49250030517578,-46.84361267089844,2494,SA,BR,BR-SP,Itapira,0,SDHE,,,,,,50,2008-06-24T09:40:26+00:00
37754,SSYT,small_airport,"Itapiranga Airport",-27.142499923706055,-53.68579864501953,1247,SA,BR,BR-SC,Itapiranga,0,SSYT,,SSYT,,,,50,2008-09-15T08:55:47+00:00
37962,SWMH,small_airport,"Fazenda Bom Pastor Airport",-15.542222023010254,-51.01777648925781,895,SA,BR,BR-GO,Itapirapuã,0,SWMH,,,,,,50,2008-06-24T09:40:26+00:00
38147,SWXD,small_airport,"Aerogardi Airport",-21.561111450195312,-48.79861068725586,1762,SA,BR,BR-SP,Itápolis,0,SWXD,,,,,,50,2008-06-24T09:40:26+00:00
37491,SSHD,small_airport,"Fazenda Bipandora II Airport",-22.002777099609375,-54.9011116027832,1368,SA,BR,BR-MS,Itaporã,0,SSHD,,,,,,50,2008-06-24T09:40:26+00:00
37610,SSPO,small_airport,"Aplicação Aviação Agrícola II Airport",-22.009166717499998,-54.789722442599995,1165,SA,BR,BR-MS,Itaporã,0,SSPO,,,,,,50,2010-02-03T11:37:42+00:00
37700,SSVM,small_airport,"Fazenda Santa Alaíde Airport",-22.002500534057617,-54.97416687011719,1499,SA,BR,BR-MS,Itaporã,0,SSVM,,,,,,50,2008-06-24T09:40:26+00:00
226,SIBZ,small_airport,"Itaporanga Airport",-7.311659812927246,-38.112701416015625,958,SA,BR,BR-PB,Itaporanga,0,SIBZ,,SIBZ,,,,50,2008-06-24T09:40:26+00:00
511,SSUY,small_airport,"Fazenda Menina Airport",-20.640499114990234,-51.476898193359375,1115,SA,BR,BR-SP,Itapura,0,SSUY,,SSUY,,,,50,2008-06-24T09:40:26+00:00
29983,SSIQ,small_airport,"Itaqui Airport",-29.173099517822266,-56.53670120239258,230,SA,BR,BR-RS,Itaqui,0,SSIQ,ITQ,,,,,50,2008-06-24T09:40:26+00:00
36325,SIVZ,small_airport,"Mata-Fome Airport",-29.190832138061523,-56.54861068725586,220,SA,BR,BR-RS,Itaqui,0,SIVZ,,,,,,50,2008-06-24T09:40:26+00:00
