"the",1,0.6300292616046353
"of",0.5831937793555596,0.27162327872312403
"and",0.4262360093200268,0.3928384738154858
"to",0.36437561056939194,0.6737948709977987
"in",0.3181147249815318,0.2180459923381552
"a",0.28833968280435057,0.46103429178654487
"is",0.1579031450561328,0.23087136101228628
"that",0.15068097511093,0.338172364512717
"for",0.12326934748035653,0.17713619121399257
"it",0.10810482643328767,0.3176646998047318
"as",0.10736203846410675,0.05560850149007584
"was",0.10363433645696842,0.15066004265306307
"with",0.0976092446408467,0.13872961933736414
"be",0.0907551905066287,0.15692056991821968
"by",0.08857507061723967,0.029040731466491495
"on",0.08653005523019186,0.15677577528527406
"not",0.08517804076197483,0.15956695770115206
"he",0.07741352627245097,0.1227146784945612
"i",0.0731641949908491,0.8610339645670354
"this",0.07205739318166518,0.20439766659767789
"are",0.06969142050610452,0.12487514530591343
"or",0.06907520639581455,0.045043401577688866
"his",0.06801420954003849,0.04540334303811862
"from",0.06533667521466432,0.049060021056575434
"at",0.06428661595628513,0.0764327510734845
"which",0.05914087178647516,0.011168001858606814
"but",0.05258920602830214,0.13015892233526746
"have",0.052308381212214816,0.1722180819864842
"an",0.05134433678458689,0.04076500649121702
"had",0.04926835459022351,0.042997461594655194
"they",0.04637009010334401,0.056602430750126186
"you",0.04402734553247519,1
"were",0.04276080140508705,0.047550721069091584
"their",0.04054775310579676,0.013012701843309302
"one",0.040472471851158785,0.06876272577123593
"all",0.03884896520812058,0.12948157795064058
"we",0.03874570444866464,0.14877280413212796
"can",0.031365265948527545,0.08806458658678147
"her",0.03076004962690391,0.0951104406746939
"has",0.030738768999812767,0.030386421699234552
"there",0.030579653661443423,0.07007569405303082
"been",0.030491955979977406,0.045184924015539654
"if",0.0294738847653304,0.0986182338163366
"more",0.029139872487666935,0.032917464605074685
"when",0.028621714230521185,0.05326888199728244
"will",0.027970119499931362,0.053018559072529024
"would",0.027737911997101752,0.05539662685768651
"who",0.027583307783446784,0.04401020597650073
"so",0.027292360268598118,0.13832223104805955
"no",0.0263787951850859,0.17380509660746993
"she",0.026229074845083217,0.09008516705783032
"other",0.026049972106750814,0.019580815447378604
"its",0.025791070698739406,0.002813269732768007
"may",0.024823256764610356,0.009979376990414922
"these",0.024592302995450725,0.017938991558554704
"what",0.023024362668631726,0.23381960879271543
"them",0.022593121433280152,0.03302135679933509
"than",0.022317861522289307,0.020299880319464406
"some",0.02226697325044074,0.0435733679313428
"him",0.022237806644215433,0.07897115641828797
"time",0.021993736809469967,0.053084002974425344
"into",0.021549569480164357,0.022376906155898827
"only",0.021380249668787082,0.02503147442656826
"do",0.02102943180411847,0.15885116502416108
"such",0.020718009690323592,0.007209463842653227
"my",0.020383257677778207,0.17214118540175602
"new",0.020213660847194805,0.015428399872057172
"about",0.020168180843775547,0.11677646244624397
"out",0.019741292702806,0.09969314990498364
"also",0.019560590074504173,0.0045671663035893525
"two",0.019475208344414616,0.024368036871094328
"any",0.018525372446380254,0.027979722206997425
"up",0.018370192272336293,0.08493473197859003
"first",0.017386710546995067,0.02004955739471099
"could",0.016703096641206082,0.046861924001632825
"our",0.016478490790978937,0.032636873875694215
"then",0.016437560238066733,0.04269969184102695
"most",0.016214814045700104,0.007934255056154959
"see",0.01594229225363786,0.062145529240744395
"me",0.015435230942553262,0.2554979012958711
"should",0.015334948859937393,0.02849182073933612
"after",0.015108463219037754,0.018145957898301812
"said",0.014275584193263163,0.02827831000939938
"your",0.014139479792649358,0.15384225238277158
"very",0.014066157579266476,0.029564282681662047
"between",0.014013205458774004,0.006204899948544732
"made",0.013892546748107991,0.015438216457341619
"many",0.013798715602648651,0.006956686771578695
"over",0.013475569883124077,0.03272276899693313
"like",0.013368824320364984,0.09914260308028085
"those",0.013026409616448556,0.016237450109250415
"did",0.012991488058161717,0.06466920970762119
"now",0.012794176311979653,0.08254848370569551
"even",0.012759707939712052,0.027727763184696597
"well",0.012720308290342458,0.1269619877276323
"where",0.012649291161514229,0.03217385826977776
"must",0.012486383848500928,0.011525489172715456
"people",0.012405807965646427,0.023328296879716562
"through",0.012186871300571799,0.015463575969326444
"how",0.011866345577434472,0.07191303159876998
"same",0.01176195293584595,0.010654267228720711
"work",0.011710502037594243,0.019373849107631496
"being",0.011604984877698664,0.015269698409958598
"because",0.011532051082570396,0.0438196006122277
"man",0.011469849281557105,0.03055821194171239
"life",0.011436834803413808,0.027970723670486683
"before",0.01139729155002989,0.020720357389148257
"each",0.011324130756975765,0.007589038473651876
"much",0.011323761134367878,0.028034531474835592
"under",0.011028986897412118,0.0057255233671541965
"s",0.010732952335126703,0.004298846305814445
"years",0.010607817492042523,0.011064927713120112
"way",0.010542620761039732,0.040733920637816265
"great",0.010492980478700568,0.020807070559160878
"state",0.010422092452235382,0.0021203824214407314
"both",0.010241121336218378,0.009027168217823484
"use",0.010090854133295833,0.007440971645611454
"upon",0.010027504140500599,0.0008916731633373445
"own",0.009873711510817996,0.012147206240730485
"used",0.009869883074879389,0.007872083349353454
"however",0.009778393098603089,0.0008270473102147296
"us",0.009736358668695265,0.04048686990815766
"part",0.009714507881875648,0.007786188228114536
"good",0.009603851186099008,0.05955231462810276
"world",0.00952720950707091,0.009615345286116649
"make",0.009469483725475904,0.03775622310153376
"three",0.009186649168853946,0.00988857357653378
"while",0.009104787290863692,0.009003444803386067
"long",0.008989778480037321,0.017249376442322245
"day",0.00887072178750514,0.01788254619316913
"without",0.008768450831665832,0.008524886270769236
"just",0.008553388951313976,0.16100017915268144
"men",0.008552104481676604,0.0046448809370912315
