COD_UF,SG_UF,NM_UF,NM_MICRO,NM_MESO,TP_MUNICIPIO,CD_MUNICIPIO,NM_MUNICIPIO,LONG,LAT,ALT
11,RO,RONDÔNIA,PORTO VELHO,MADEIRA-GUAPORÉ,URBANO,1101104,ITAPUÃ DO OESTE,-6318233702,-9191871675,9895108
11,RO,RONDÔNIA,CACOAL,LESTE RONDONIENSE,URBANO,1101203,MINISTRO ANDREAZZA,-6151892193,-1119623798,266291526
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101302,MIRANTE DA SERRA,-626694271,-1104560929,211815643
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1101401,MONTE NEGRO,-6329555917,-1026309776,155400337
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101435,NOVA UNIÃO,-625550894,-1091553204,241493724
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1101450,PARECIS,-6159799797,-1217982705,296282838
11,RO,RONDÔNIA,COLORADO DO OESTE,LESTE RONDONIENSE,URBANO,1101468,PIMENTEIRAS DO OESTE,-61044379,-13476562,170255529
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1101476,PRIMAVERA DE RONDÔNIA,-6131654624,-1182570695,244567351
11,RO,RONDÔNIA,VILHENA,LESTE RONDONIENSE,URBANO,1101484,SÃO FELIPE D'OESTE,-6151250811,-1191438935,269726767
11,RO,RONDÔNIA,GUAJARÁ-MIRIM,MADEIRA-GUAPORÉ,URBANO,1101492,SÃO FRANCISCO DO GUAPORÉ,-6357086471,-1206379841,165693726
11,RO,RONDÔNIA,ALVORADA D'OESTE,LESTE RONDONIENSE,URBANO,1101500,SERINGUEIRAS,-63038761,-1176711664,185830878
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101559,TEIXEIRÓPOLIS,-6225592225,-1093216929,19134936
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101609,THEOBROMA,-6234514553,-1024873055,191598548
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101708,URUPÁ,-6237063245,-1112854528,197170024
11,RO,RONDÔNIA,ARIQUEMES,LESTE RONDONIENSE,URBANO,1101757,VALE DO ANARI,-6217682344,-9851392708,157665353
11,RO,RONDÔNIA,JI-PARANÁ,LESTE RONDONIENSE,URBANO,1101807,VALE DO PARAÍSO,-6213439036,-1043105268,153994474
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200013,ACRELÂNDIA,-6705231658,-1007379389,205894014
12,AC,ACRE,BRASILÉIA,VALE DO ACRE,URBANO,1200054,ASSIS BRASIL,-6956345917,-1094286568,234866835
12,AC,ACRE,BRASILÉIA,VALE DO ACRE,URBANO,1200104,BRASILÉIA,-6874794343,-1101641102,188324139
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200138,BUJARI,-6795185928,-9820019627,198174197
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200179,CAPIXABA,-6767350797,-1056976771,212303309
12,AC,ACRE,CRUZEIRO DO SUL,VALE DO JURUÁ,URBANO,1200203,CRUZEIRO DO SUL,-7267253132,-7630690005,183079525
12,AC,ACRE,BRASILÉIA,VALE DO ACRE,URBANO,1200252,EPITACIOLÂNDIA,-6874486807,-1102823983,206036126
12,AC,ACRE,TARAUACÁ,VALE DO JURUÁ,URBANO,1200302,FEIJÓ,-7035398361,-816024753,159822497
12,AC,ACRE,TARAUACÁ,VALE DO JURUÁ,URBANO,1200328,JORDÃO,-7195087512,-919335786,264977881
12,AC,ACRE,CRUZEIRO DO SUL,VALE DO JURUÁ,URBANO,1200336,MÂNCIO LIMA,-7291650103,-7593222594,187065998
12,AC,ACRE,SENA MADUREIRA,VALE DO ACRE,URBANO,1200344,MANOEL URBANO,-6925994458,-8836317737,162133821
12,AC,ACRE,CRUZEIRO DO SUL,VALE DO JURUÁ,URBANO,1200351,MARECHAL THAUMATURGO,-7279026591,-8953591123,214910605
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200385,PLÁCIDO DE CASTRO,-6718826009,-1033513328,129189484
12,AC,ACRE,CRUZEIRO DO SUL,VALE DO JURUÁ,URBANO,1200393,PORTO WALTER,-7274233396,-8266666363,201805961
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200401,RIO BRANCO,-678105287,-9978298753,137865746
12,AC,ACRE,CRUZEIRO DO SUL,VALE DO JURUÁ,URBANO,1200427,RODRIGUES ALVES,-7264785491,-7733602034,189585426
12,AC,ACRE,SENA MADUREIRA,VALE DO ACRE,URBANO,1200435,SANTA ROSA DO PURUS,-7048649689,-9443406537,21672423
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200450,SENADOR GUIOMARD,-6774317236,-1014817359,207924797
12,AC,ACRE,SENA MADUREIRA,VALE DO ACRE,URBANO,1200500,SENA MADUREIRA,-6865568406,-9065339505,132133034
12,AC,ACRE,TARAUACÁ,VALE DO JURUÁ,URBANO,1200609,TARAUACÁ,-7075550106,-8155668592,172144466
