"geo","time","agriculture_percent_of_gdp","co2_emissions_tonnes_per_person","crude_birth_rate_births_per_1000_population","crude_death_rate_deaths_per_1000_population","exports_percent_of_gdp","gdppercapita_us_inflation_adjusted","imports_percent_of_gdp","life_expectancy_years","population_density_per_square_km","population_total"
"afg",2002,37.93882,0.04872,47.23,11.167,32.38672,364.57057,65.2877,52.43,33.66713,21979923
"afg",2003,36.86306,0.05183,46.54,10.748,43.55687,376.75871,94.34417,53.03,35.32894,23064851
"afg",2004,29.3912,0.03938,45.76,10.325,33.99649,364.09544,87.13932,53.5,36.94357,24118979
"afg",2005,30.78797,0.05295,44.89,9.906,27.39526,389.41636,77.46715,53.87,38.40149,25070798
"afg",2006,28.28974,0.06373,43.89,9.498,26.47029,397.9859,74.08506,54.15,39.66157,25893450
"afg",2007,29.79897,0.08542,42.78,9.108,17.82371,440.36816,58.35005,54.57,40.76952,26616792
"afg",2008,24.69382,0.1541,41.56,8.742,17.99297,444.95014,55.07255,55.21,41.80687,27294031
"afg",2009,29.13593,0.24172,40.27,8.403,14.70759,524.82353,42.19923,55.69,42.89485,28004331
"afg",2010,26.07825,0.29384,38.94,8.095,10.02385,553.30029,44.94348,56.2,44.11844,28803167
"afg",2011,23.57797,0.41202,37.64,7.816,6.10727,569.23339,44.19395,56.71,45.50531,29708599
"afg",2012,23.64364,0.35037,36.4,7.563,5.51685,630.42741,39.1424,57.23,47.0192,30696958
"afg",2013,22.58745,0.3156,35.25,7.331,6.3079,633.65841,49.75777,57.71,48.60412,31731688
"afg",2014,22.0093,0.29944,34.23,7.118,6.5677,630.32001,45.77388,57.83,50.17618,32758020
"ago",1985,12.20473,0.44312,53.09,23.591,44.24729,2146.68485,44.24729,50.26,8.5097,10609042
"ago",1986,12.93124,0.42677,53.02,23.47,47.25984,2145.83322,47.25984,50.23,8.75996,10921037
"ago",1987,11.7427,0.51843,52.95,23.351,41.34462,2174.26655,41.34462,50,8.99837,11218268
"ago",1988,14.47579,0.44556,52.87,23.226,38.11325,2248.26345,38.11325,49.78,9.23556,11513968
"ago",1989,17.42597,0.42352,52.78,23.083,32.76359,2189.62449,32.76359,50.16,9.48683,11827237
"ago",1990,16.39071,0.42028,52.69,22.91,29.76504,2054.29485,29.76504,50.21,9.76293,12171441
"ago",1991,28.57143,0.40545,52.59,22.697,28.57143,2011.52778,28.57143,50.79,10.06934,12553446
"ago",1992,7.89474,0.40068,52.48,22.436,47.36842,1833.49114,50,50.96,10.40214,12968345
"ago",1993,10.54422,0.43089,52.36,22.119,49.31973,1348.48436,50.68027,49.7,10.75137,13403734
"ago",2000,5.66469,0.58035,51.01,17.858,89.68583,1720.41165,62.86128,53.36,13.18755,16440924
"ago",2001,8.15638,0.57305,50.74,17.029,75.38894,1735.52193,74.94685,53.64,13.62258,16983266
"arg",1965,12.90416,2.64171,22.71,8.948,6.22587,6251.32182,4.15058,64.46,8.14246,22283390
"arg",1966,10.27876,2.79265,22.6,8.994,6.65292,6120.71218,4.98969,64.57,8.26135,22608748
"arg",1967,9.98039,2.85816,22.55,9.025,7.4956,6226.99776,4.99706,64.72,8.37954,22932203
"arg",1968,9.72128,2.96985,22.55,9.043,6.48445,6434.95378,5.40371,64.89,8.49979,23261278
"arg",1969,9.18581,3.27585,22.61,9.047,6.39871,6954.76412,6.39871,65.11,8.62574,23605987
"arg",1970,9.63756,3.45116,22.76,9.039,5.60157,7056.84806,4.73588,65.36,8.75987,23973058
"arg",1971,10.86588,3.65008,23.02,9.025,6.00723,7335.75914,6.60796,65.65,8.90362,24366439
"arg",1972,10.98487,3.63786,23.39,9.008,7.19777,7329.92116,6.83788,65.99,9.05581,24782949
"arg",1973,11.95252,3.73079,23.83,8.993,7.61267,7407.36675,5.7095,66.43,9.2131,25213388
"arg",1974,10.23084,3.7267,24.32,8.979,6.90257,7685.85721,6.28901,66.79,9.37063,25644506
"arg",1975,6.58391,3.64182,24.77,8.961,5.82405,7559.14375,5.97867,67.35,9.525,26066975
"arg",1976,8.15217,3.76877,25.11,8.934,9.17539,7291.84043,5.9215,67.76,9.67488,26477152
"arg",1977,8.08714,3.74987,25.27,8.893,9.61589,7681.01757,7.32639,68.2,9.82156,26878565
"arg",1978,7.50443,3.76275,25.24,8.837,8.60839,7227.56412,5.71541,68.84,9.96742,27277741
"arg",1979,7.79628,3.99873,25.02,8.767,6.51092,7849.36334,6.32977,69.38,10.11607,27684534
"arg",1980,6.35351,3.86885,24.63,8.69,5.06197,8052.68965,6.4837,69.85,10.27003,28105888
"arg",1981,6.47552,3.57497,24.14,8.613,6.92105,7478.13043,7.37193,70.16,10.42989,28543364
"arg",1982,9.59616,3.56709,23.65,8.545,9.09049,6996.96292,6.52099,70.55,10.59455,28993987
"arg",1983,8.65832,3.57204,23.2,8.491,9.15152,7154.41125,5.83615,70.62,10.76291,29454738
"arg",1984,8.34598,3.56014,22.83,8.451,7.5899,7198.71994,4.75649,70.93,10.93325,29920904
"arg",1985,7.63431,3.31033,22.56,8.423,11.7361,6550.15032,6.27333,71.33,11.10421,30388783
"arg",1986,7.8004,3.37724,22.38,8.401,8.16198,6958.75247,6.32406,71.6,11.27539,30857244
"arg",1987,8.09436,3.66917,22.24,8.379,7.87321,7053.98564,7.57576,71.77,11.44685,31326473
"arg",1988,8.97787,3.82045,22.11,8.35,9.53161,6772.22302,6.21185,71.91,11.61824,31795517
"arg",1989,9.61607,3.6292,21.97,8.312,13.05841,6173.68498,6.57939,72.05,11.78926,32263561
"arg",1990,8.12368,3.42648,21.8,8.264,10.35954,5939.75692,4.63132,72.14,11.95961,32729739
"arg",1991,6.71649,3.5277,21.6,8.207,7.67504,6598.72263,6.07801,72.34,12.12922,33193918
"arg",1992,5.99079,3.60575,21.37,8.145,6.59819,7285.42943,8.13279,72.5,12.29776,33655151
"arg",1993,5.13683,3.45716,21.1,8.082,6.90935,7612.68115,9.3138,72.74,12.4643,34110917
"arg",1994,5.08264,3.5421,20.8,8.021,7.52991,7952.71155,10.60432,73,12.62771,34558115
"arg",1995,5.35147,3.65665,20.5,7.965,9.68049,7630.02227,10.09101,73.12,12.78728,34994814
"arg",1996,5.61088,3.81146,20.21,7.916,10.42854,7955.12765,11.07782,73.3,12.94253,35419682
"arg",1997,5.22197,3.8512,19.95,7.874,10.5608,8500.94036,12.77535,73.5,13.09391,35833969
"arg",1998,5.25275,3.85787,19.73,7.841,10.41552,8728.94765,12.93443,73.71,13.24286,36241590
"arg",1999,4.45784,4.0107,19.55,7.815,9.82716,8339.89439,11.5555,73.93,13.39138,36648068
"arg",2000,4.67992,3.83557,19.41,7.796,10.9864,8182.6865,11.63611,74.21,13.54098,37057452
"arg",2001,4.56853,3.5686,19.3,7.782,11.57913,7735.49336,10.27329,74.38,13.69227,37471509
"arg",2002,10.20667,3.29155,19.2,7.77,28.38265,6816.73486,13.3701,74.48,13.84496,37889370
"arg",2003,10.32822,3.52558,19.09,7.759,25.93091,7337.79204,14.71378,74.63,13.99844,38309379
"arg",2004,8.36249,4.06906,18.97,7.746,23.84762,7913.74312,16.84503,74.9,14.15166,38728696
"arg",2005,7.93875,4.14124,18.83,7.731,23.24588,8522.52273,17.30539,75.15,14.30395,39145488
"arg",2006,6.93557,4.43482,18.69,7.714,23.02669,9112.11316,17.40679,75.29,14.45501,39558890
"arg",2007,7.45235,4.38267,18.55,7.695,22.66275,9830.68092,18.28242,75.32,14.60532,39970224
"arg",2008,7.31895,4.68291,18.41,7.676,22.0609,10125.12627,18.34177,75.52,14.75592,40382389
"arg",2009,5.27362,4.41089,18.28,7.656,19.56099,9428.50254,14.49614,75.66,14.9083,40799407
"arg",2010,7.13217,4.5585,18.15,7.637,18.93382,10276.2605,16.03719,75.82,15.06341,41223889
"arg",2011,6.99873,4.60029,18.02,7.619,18.44921,10780.01566,16.75695,75.98,15.22163,41656879
"arg",2012,5.78174,4.56938,17.87,7.603,16.23786,10557.88539,14.28868,76.1,15.38236,42096739
"arg",2013,6.05292,4.4629,17.72,7.59,14.61717,10699.19772,14.71676,76.22,15.5443,42539925
"arg",2014,6.7127,4.7468,17.54,7.579,14.40548,10323.20694,14.00132,76.42,15.70566,42981515
"arm",1990,15.98092,1.87031,21.6,8.473,35.00298,1796.93643,46.33274,70.24,124.27696,3538165
"arm",1991,23.61651,1.81964,20.65,8.619,40.74539,1601.59382,60.12047,70,123.12086,3505251
"arm",1992,28.48577,1.69247,19.55,8.715,39.82076,949.03322,61.256,69.05,120.92764,3442810
"arm",1993,49.25576,0.75998,18.35,8.769,47.21898,886.03279,60.75417,68.66,118.12778,3363098
"arm",1994,43.46297,0.82416,17.12,8.785,39.32804,956.47089,73.10079,68.87,115.33755,3283660
"arm",1995,40.69077,1.05998,15.96,8.768,23.92792,1043.54314,62.18693,69.26,113.00815,3217342
"arm",1996,34.79505,0.80905,14.96,8.727,23.24,1121.88163,55.98956,69.55,111.28258,3168215
"arm",1997,29.41324,1.0323,14.16,8.674,20.27327,1172.1368,58.27447,70.25,110.04868,3133086
"arm",1998,30.84725,1.08169,13.6,8.622,19.00302,1267.57528,52.83943,70.74,109.19157,3108684
"arm",1999,26.95912,0.9758,13.29,8.583,20.75826,1317.74192,49.80216,71.17,108.50077,3089017
"arm",2000,23.21348,1.12892,13.2,8.575,23.37528,1404.32146,50.54329,71.85,107.81834,3069588
"arm",2001,25.59,1.16117,13.31,8.612,25.46839,1548.07585,46.14881,72.07,107.15332,3050655
"arm",2002,23.44903,1.0032,13.51,8.697,29.35655,1761.88827,46.58687,72.46,106.5647,3033897
"arm",2003,21.52904,1.13614,13.74,8.824,32.15265,2019.98487,50.035,72.55,105.99951,3017806
"arm",2004,22.59553,1.21475,13.95,8.986,29.73483,2244.22017,45.30238,72.66,105.39557,3000612
"arm",2005,19.09592,1.46003,14.1,9.168,28.80922,2571.98576,43.22971,72.5,104.71581,2981259
"arm",2006,18.71558,1.48118,14.16,9.349,23.35899,2933.83348,39.25021,72.45,103.9164,2958500
"arm",2007,18.24986,1.72657,14.16,9.509,19.18564,3366.16219,39.15081,72.88,103.02269,2933056
"arm",2008,16.30845,1.91154,14.1,9.634,15.0471,3629.1577,40.65576,72.81,102.15033,2908220
"arm",2009,16.9118,1.50941,13.99,9.717,15.47447,3136.81173,43.0044,73.01,101.46063,2888584
"arm",2010,16.99915,1.46562,13.83,9.757,20.83009,3218.38165,45.31719,73.34,101.06466,2877311
"arm",2011,20.32535,1.71007,13.65,9.762,23.75685,3371.67283,47.35401,73.8,101.0039,2875581
"arm",2012,17.91268,1.97606,13.47,9.747,27.56672,3606.48055,48.40002,74.29,101.22662,2881922
"arm",2013,18.43476,1.89971,13.31,9.727,28.35913,3710.57574,48.19707,74.99,101.63361,2893509
"arm",2014,18.07204,1.90276,13.16,9.708,28.56514,3827.3432,47.04655,75.36,102.08008,2906220
"aus",1990,4.20836,15.47434,14.95,7.088,15.14356,35896.80015,17.07036,77.04,2.21827,17041431
"aus",1991,3.18185,15.13859,14.86,7.046,16.05904,35304.81615,16.19172,77.41,2.24827,17271874
"aus",1992,3.05346,15.3257,14.74,7.01,16.6914,35033.39935,16.41894,77.63,2.27613,17485948
"aus",1993,3.26388,15.68327,14.58,6.983,17.57366,36093.5763,17.89462,77.9,2.30237,17687479
"aus",1994,3.34928,15.55243,14.38,6.964,18.00589,37134.41275,18.52141,78.06,2.32778,17882737
"aus",1995,3.02163,15.59243,14.15,6.951,17.91688,38093.45907,19.88467,78.31,2.35304,18076743
"aus",1996,3.39216,16.53731,13.89,6.938,18.93919,39054.47324,19.39314,78.51,2.37841,18271685
"aus",1997,3.24334,16.55846,13.63,6.921,19.17481,40151.82707,18.9,78.79,2.40391,18467588
"aus",1998,3.03895,16.97739,13.38,6.897,19.59558,41554.11494,20.47485,79.1,2.42962,18665045
"aus",1999,3.06308,17.24669,13.16,6.864,18.35396,43143.58276,20.80216,79.38,2.45553,18864112
"aus",2000,3.12048,17.27925,12.99,6.824,19.44348,44313.31823,21.60415,79.7,2.48179,19065837
"aus",2001,3.50485,16.85883,12.9,6.78,22.23518,44564.97656,22.14891,80,2.50817,19268533
"aus",2002,3.94964,17.52762,12.88,6.736,20.78314,45786.64281,20.79123,80.23,2.53507,19475191
"aus",2003,2.88973,17.07223,12.95,6.696,19.103,46575.41533,21.20985,80.52,2.56394,19696972
"aus",2004,3.06505,17.17927,13.07,6.662,17.21976,47880.61166,19.93653,80.79,2.59667,19948429
"aus",2005,2.88652,17.30197,13.24,6.634,18.2853,48760.35517,21.02931,81.07,2.63448,20238903
"aus",2006,2.72868,17.75804,13.41,6.614,19.90813,49408.05274,21.72581,81.26,2.67805,20573606
"aus",2007,2.20404,17.76371,13.57,6.6,20.23057,50955.05595,21.87698,81.42,2.72661,20946664
"aus",2008,2.34177,18.08149,13.68,6.591,20.1887,51770.90715,22.7391,81.57,2.77814,21342493
"aus",2009,2.29508,18.16055,13.74,6.586,23.03851,51689.91356,22.82648,81.79,2.82976,21739040
"aus",2010,2.20117,17.67002,13.73,6.586,19.84252,51936.88871,20.87387,81.98,2.87935,22120064
"aus",2011,2.28041,17.42982,13.67,6.592,21.47284,52475.66325,20.5051,82.15,2.92618,22479799
"aus",2012,2.25875,17.00679,13.59,6.603,21.51897,53553.23394,21.76811,82.33,2.97071,22821849
"aus",2013,2.28251,16.08012,13.48,6.617,19.98772,54008.70819,21.28586,82.53,3.01352,23150729
"aus",2014,2.22005,15.38943,13.38,6.635,21.07577,54546.20306,21.50408,82.58,3.05568,23474668
"aut",1976,5.10632,7.64523,11.94,12.462,28.75253,24501.74933,31.16376,71.64,92.71741,7640749
"aut",1977,4.41014,7.36178,11.68,12.414,27.95396,25736.55121,32.32364,71.95,92.66677,7636576
"aut",1978,4.41461,7.53614,11.53,12.368,29.11509,25703.13738,30.55289,72.14,92.55978,7627759
"aut",1979,4.28893,8.08553,11.48,12.322,30.88078,27126.17818,32.43644,72.35,92.43995,7617884
"aut",1980,4.3264,6.87356,11.49,12.268,31.69307,27595.83476,35.13193,72.51,92.34127,7609752
"aut",1981,3.96694,7.38124,11.53,12.198,33.00066,27485.83215,35.39589,72.76,92.2777,7604513
"aut",1982,3.64604,7.08589,11.56,12.106,31.7415,28018.54088,32.37562,72.96,92.2494,7602181
"aut",1983,3.41221,6.83713,11.57,11.99,30.4782,28898.21885,31.99399,73.2,92.26058,7603102
"aut",1984,3.58235,7.17079,11.53,11.852,32.75102,28914.85659,33.82399,73.55,92.31143,7607293
"aut",1985,3.13516,7.1834,11.47,11.697,34.92132,29623.43413,35.16184,73.87,92.40335,7614868
"aut",1986,3.22696,7.09221,11.41,11.533,31.99771,30285.93319,32.01688,74.27,92.53107,7625393
"aut",1987,3.19749,7.55879,11.37,11.37,31.4062,30677.54399,31.44752,74.64,92.70046,7639352
"aut",1988,3.04846,6.96452,11.38,11.214,33.07093,31643.80896,33.49162,75.01,92.93694,7658840
"aut",1989,3.01155,7.04054,11.42,11.07,35.0152,32726.05943,35.52316,75.23,93.27345,7686572
"aut",1990,3.09712,7.4684,11.48,10.937,35.69741,33888.99559,35.79095,75.51,93.72701,7723949
"aut",1991,2.81128,7.92589,11.52,10.815,34.59049,34707.07123,35.45792,75.71,94.31859,7772701
"aut",1992,2.45333,7.23526,11.52,10.696,33.15527,35045.84429,34.4749,75.9,95.02522,7830933
"aut",1993,2.20444,7.23542,11.45,10.578,31.4639,34941.1434,31.80115,76.14,95.76728,7892086
"aut",1994,2.37155,7.17923,11.3,10.457,32.15853,35643.02768,33.82856,76.4,96.43618,7947209
"aut",1995,2.1586,7.48213,11.1,10.334,33.53314,36537.99304,34.72346,76.68,96.9569,7990121
"aut",1996,1.98247,7.87975,10.85,10.207,34.24928,37346.00743,35.8344,76.95,97.29354,8017863
"aut",1997,1.90548,7.8002,10.59,10.077,37.02808,38084.70138,37.83961,77.25,97.47571,8032876
"aut",1998,1.79334,7.91722,10.34,9.948,38.35102,39405.41603,38.57613,77.53,97.5749,8041050
"aut",1999,1.72222,7.68461,10.12,9.822,39.35704,40727.48494,38.9031,77.8,97.69701,8051113
"aut",2000,1.6473,7.71866,9.928,9.702,43.34627,42001.21116,42.01422,78.12,97.91741,8069276
"aut",2001,1.6707,8.13666,9.774,9.59,44.61756,42370.9316,42.91911,78.47,98.26291,8097748
"aut",2002,1.56277,8.2456,9.646,9.489,45.31939,42859.3294,41.62878,78.71,98.70781,8134412
"aut",2003,1.49193,8.83038,9.537,9.402,44.57041,43052.60307,41.81697,78.91,99.21067,8175852
"aut",2004,1.47647,8.81002,9.447,9.33,46.86721,43956.58266,43.92513,79.23,99.70762,8216805
"aut",2005,1.2594,8.99195,9.376,9.277,48.61975,44637.85641,45.41405,79.48,100.15472,8253650
"aut",2006,1.30319,8.71034,9.329,9.244,50.84167,45951.73469,47.24664,79.77,100.53192,8284735
"aut",2007,1.41639,8.38994,9.304,9.23,52.56087,47510.29379,48.17238,80,100.86014,8311783
"aut",2008,1.34222,8.27823,9.3,9.233,53.24886,48053.48308,48.82482,80.19,101.18377,8338453
"aut",2009,1.14682,7.49475,9.314,9.251,45.20742,46123.49069,41.85481,80.3,101.56704,8370038
"aut",2010,1.26733,8.02646,9.345,9.282,51.26216,46858.04327,47.75764,80.5,102.05134,8409949
"aut",2011,1.40191,7.68565,9.389,9.324,53.94867,48065.31671,51.15412,80.72,102.65704,8459864
"aut",2012,1.34855,7.31114,9.443,9.375,53.97368,48172.2377,51.1785,80.87,103.35701,8517548
"aut",2013,1.25472,7.2846,9.502,9.43,53.44129,47901.36543,50.62512,81.07,104.08793,8577782
"aut",2014,1.20095,6.80075,9.56,9.486,53.39945,47922.33985,50.12953,81.31,104.76065,8633220
"aze",1990,26.50068,8.81867,27.37,8.727,43.86085,3118.54659,39.22237,66.22,87.62334,7242770
"aze",1991,30.48278,8.36689,26.93,8.748,45.65868,3049.01599,41.20509,65.92,89.01686,7357956
"aze",1992,26.05963,7.52694,26.19,8.717,86.20361,2324.45298,54.59638,64.27,90.39576,7471933
"aze",1993,27.0954,6.39061,25.18,8.63,57.43242,1760.55465,75.98834,64.41,91.72447,7581761
"aze",1994,32.34761,5.46301,23.94,8.488,24.7226,1394.74421,30.63006,63.93,92.95784,7683709
"aze",1995,25.17574,4.28697,22.56,8.305,27.90087,1216.07792,41.51002,64.89,94.06743,7775426
"aze",1996,24.75921,3.97903,21.15,8.102,29.5157,1219.50935,55.54766,65.32,95.03681,7855553
"aze",1997,20.12741,3.76108,19.83,7.903,29.02188,1277.85412,53.02437,65.64,95.88508,7925669
"aze",1998,18.14905,3.96445,18.7,7.726,22.70232,1392.36119,54.53126,65.81,96.6622,7989904
"aze",1999,18.39908,3.54811,17.84,7.58,27.98358,1482.32977,41.87764,66.11,97.43915,8054125
"aze",2000,16.08529,3.63281,17.31,7.463,39.04136,1633.39444,38.37809,66.56,98.26927,8122741
"aze",2001,14.83558,3.50986,17.16,7.364,40.92304,1781.2464,37.31793,67.21,99.17103,8197279
"aze",2002,13.95478,3.57794,17.33,7.269,42.76852,1955.41315,50.04893,67.5,100.13568,8277015
"aze",2003,12.426,3.66158,17.75,7.167,42.01088,2158.00717,65.55051,67.33,101.15608,8361359
"aze",2004,10.98789,3.79813,18.35,7.058,48.78748,2357.39603,72.71588,67.44,102.21493,8448882
"aze",2005,9.1,4.02147,19.06,6.945,62.93643,2949.44282,52.89701,67.64,103.30042,8538606
"aze",2006,7.1,4.53839,19.8,6.838,66.50634,3923.65815,38.75945,68,104.40847,8630195
"aze",2007,6.7,3.49706,20.5,6.744,68.13094,4851.17691,28.5137,68.35,105.547,8724304
"aze",2008,5.6,4.02451,21.07,6.673,65.77614,5262.10136,23.46676,68.4,106.72782,8821908
"aze",2009,6.1,3.57479,21.46,6.626,51.63575,5639.00169,23.1083,68.8,107.96786,8924407
"aze",2010,5.5,3.39643,21.65,6.606,54.30472,5842.80578,20.68127,69.13,109.27505,9032457
"aze",2011,5.1,3.65682,21.6,6.61,56.42698,5770.9697,24.08106,69.94,110.65328,9146379
"aze",2012,5.13977,3.83762,21.37,6.633,52.97468,5820.07985,25.28857,70.23,112.08736,9264917
"aze",2013,5.36626,3.79778,21,6.669,48.32715,6078.32065,26.65103,71,113.54367,9385293
"aze",2014,5.3,3.94451,20.5,6.715,43.26085,6122.98049,26.2056,71.47,114.97703,9503771
"bdi",1970,65.33139,0.01804,47.37,20.772,10.68878,265.22918,11.62102,44.69,134.5641,3455606
"bdi",1971,64.76177,0.02092,47.38,20.633,8.43575,268.64421,14.17168,44.93,136.50276,3505391
"bdi",1972,60.77313,0.02069,47.51,20.479,11.73444,248.69779,15.07497,18.24,138.00806,3544047
"bdi",1973,63.31364,0.02049,47.76,20.298,11.01617,263.27208,13.33273,45.11,139.3493,3578490
"bdi",1974,61.03422,0.02533,48.11,20.088,9.7534,258.46259,15.53394,45.18,140.91063,3618585
"bdi",1975,61.3036,0.02097,48.55,19.852,8.27565,256.51582,19.00177,45.19,142.97095,3671494
"bdi",1976,59.47548,0.02353,49.05,19.601,13.72648,271.84296,16.65288,45.32,145.62535,3739659
"bdi",1977,55.58016,0.02591,49.55,19.349,17.59561,296.55611,17.29142,45.59,148.80039,3821194
"bdi",1978,53.96402,0.02623,50.01,19.11,11.70769,286.81818,20.2264,45.77,152.4053,3913768
"bdi",1979,53.83225,0.02741,50.41,18.888,14.16264,284.36119,22.72214,46.09,156.28154,4013310
"bdi",1980,57.57194,0.03563,50.75,18.681,8.80938,279.95897,23.29207,46.31,160.31219,4116817
"bdi",1981,58.1426,0.03734,51.03,18.482,9.14335,306.10152,22.0377,46.64,164.45463,4223195
"bdi",1982,52.61268,0.03639,51.27,18.285,10.21197,295.17478,26.90745,46.92,168.74556,4333386
"bdi",1983,53.48219,0.04616,51.48,18.09,9.04558,298.20417,24.74776,47.2,173.23707,4448728
"bdi",1984,54.65986,0.04813,51.64,17.905,11.50401,290.66022,23.55231,47.43,178.00981,4571292
"bdi",1985,55.95197,0.04913,51.72,17.76,11.02662,315.87285,20.7869,47.6,183.10226,4702066
"bdi",1986,52.51959,0.04847,51.67,17.692,11.72323,316.74231,22.31563,47.69,188.53446,4841565
"bdi",1987,50.55635,0.04999,51.47,17.713,9.7449,324.37964,25.73863,47.88,194.22648,4987736
"bdi",1988,48.21563,0.04427,51.11,17.813,12.59077,330.86692,25.95318,48.01,199.99829,5135956
"bdi",1989,47.12209,0.0507,50.59,17.966,9.74574,326.18228,22.94357,47.98,205.60841,5280024
"bdi",1990,51.05685,0.0386,49.92,18.108,7.87299,329.15778,27.77515,47.99,210.88065,5415415
"bdi",1991,48.59791,0.04301,49.12,18.161,9.91738,337.70835,28.50518,47.87,215.81184,5542048
"bdi",1992,48.00452,0.03822,48.22,18.067,8.74918,333.94322,29.47695,47.75,220.44934,5661139
"bdi",1993,47.16981,0.03939,47.29,17.8,9.38196,307.12348,27.16104,41.81,224.74291,5771398
"bdi",1994,40.73233,0.03997,46.35,17.362,10.27177,290.31982,28.48176,47.55,228.64513,5871607
"bdi",1995,42.02269,0.03998,45.46,16.792,12.92634,263.27085,27.27828,46.95,232.16737,5962058
"bdi",1996,53.38092,0.04006,44.65,16.152,5.82032,239.03963,15.7534,46.58,235.24579,6041112
"bdi",1997,42.42186,0.0408,43.94,15.525,9.83547,232.50687,14.43991,47,238.01001,6112097
"bdi",1998,44.5387,0.04031,43.34,14.975,7.99975,240.6276,19.44028,47.28,240.90156,6186352
"bdi",1999,47.6353,0.0403,42.87,14.53,7.57576,234.68485,15.96399,47.79,244.50701,6278940
"bdi",2000,44.10704,0.0424,42.57,14.202,6.31897,228.24757,16.23475,47.91,249.24868,6400706
"bdi",2001,43.84314,0.03132,42.45,13.976,5.1792,227.42811,15.78484,49.03,255.28929,6555829
"bdi",2002,43.33361,0.03155,42.5,13.81,4.6858,230.99615,16.98803,49.87,262.52216,6741569
"bdi",2003,42.84128,0.02321,42.67,13.665,6.38141,221.22748,20.9949,50.86,270.75985,6953113
"bdi",2004,41.9026,0.02757,42.96,13.522,6.95275,224.51555,24.62337,52,279.69046,7182451
"bdi",2005,40.8474,0.02075,43.3,13.369,8.2025,219.18655,33.44431,53.11,289.06889,7423289
"bdi",2006,40.6429,0.02437,43.66,13.195,7.28205,223.40359,46.86974,54.32,298.88388,7675338
"bdi",2007,34.35349,0.02356,44,13.002,7.25847,226.30444,34.22384,55.42,309.1734,7939573
"bdi",2008,37.239,0.02322,44.28,12.793,9.49176,229.8347,37.92616,56.32,319.79221,8212264
"bdi",2009,36.99636,0.02246,44.46,12.564,6.80236,230.05317,43.12351,57.14,330.56974,8489031
"bdi",2010,36.96887,0.02426,44.53,12.319,8.91664,231.19433,39.17905,57.73,341.39136,8766930
"bdi",2011,36.90176,0.02676,44.49,12.061,9.35371,233.51813,37.66549,58.21,352.16153,9043508
"bdi",2012,37.06934,0.0303,44.36,11.799,8.95013,235.70529,37.46885,58.75,362.91706,9319710
"bdi",2013,36.31332,0.03018,44.15,11.538,7.39582,239.33107,34.24535,59.22,373.83902,9600186
"bdi",2014,35.67011,0.04449,43.87,11.282,7.76818,243.10191,33.53882,59.59,385.19431,9891790
"bel",1995,1.30033,11.02731,11.57,10.409,59.48767,35228.34192,56.0237,76.86,336.40373,10186305
"bel",1996,1.321,11.56504,11.44,10.384,60.44278,35719.81023,57.61731,77.09,337.12929,10208275
"bel",1997,1.33001,11.28171,11.31,10.363,63.89677,36955.6362,60.46992,77.33,337.64164,10223789
"bel",1998,1.24594,11.56305,11.21,10.344,63.39727,37605.22806,60.08723,77.47,338.08781,10237299
"bel",1999,1.06803,11.14171,11.13,10.322,63.89872,38856.0635,60.09852,77.64,338.67768,10255160
"bel",2000,1.16795,11.19605,11.1,10.294,71.85759,40170.41893,69.22148,77.8,339.56516,10282033
"bel",2001,1.10366,11.0987,11.11,10.255,71.02037,40357.37076,67.6741,78,340.78662,10319019
"bel",2002,1.02667,10.35333,11.17,10.205,70.31477,40892.21772,64.81011,78.21,342.30135,10364885
"bel",2003,1.02453,10.83731,11.25,10.145,68.59609,41036.79826,63.39422,78.48,344.08956,10419032
"bel",2004,1.0167,10.60129,11.36,10.077,70.36997,42344.69483,65.66786,78.85,346.1069,10480117
"bel",2005,0.83697,10.28836,11.47,10.006,73.52123,42994.36365,69.855,79.11,348.31196,10546886
"bel",2006,0.90338,10.08259,11.58,9.939,75.71114,43782.13955,71.98276,79.37,350.71225,10619567
"bel",2007,0.885,9.67907,11.67,9.88,77.49084,44960.79786,73.67279,79.49,353.29706,10697835
"bel",2008,0.70792,9.68938,11.72,9.834,79.69598,44956.36733,79.21206,79.61,355.98326,10779173
"bel",2009,0.64946,9.19528,11.74,9.803,69.30978,43591.27188,67.04698,79.77,358.66215,10860290
"bel",2010,0.76242,10.13134,11.73,9.786,76.44846,44380.17663,74.65172,79.98,361.25294,10938739
"bel",2011,0.64391,9.07503,11.7,9.781,81.63555,44556.03681,81.11812,80.19,363.70816,11013083
"bel",2012,0.78452,8.58094,11.65,9.783,82.30584,44337.57677,81.68914,80.32,366.03534,11083550
"bel",2013,0.68798,8.6957,11.6,9.787,81.7303,44209.74335,80.48834,80.55,368.27979,11151512
"bel",2014,0.64933,8.32066,11.56,9.791,82.67205,44676.66073,82.03795,80.87,370.5139,11219161
"ben",1960,46.15772,0.06635,44.31,28.847,6.12391,520.40418,12.11029,41.09,21.56458,2431622
"ben",1961,46.19379,0.05205,44.74,28.286,4.58349,529.29734,9.53463,41.64,21.86828,2465867
"ben",1962,44.70927,0.05421,45.13,27.731,3.51782,503.59908,9.9593,42.19,22.19667,2502896
"ben",1963,43.71837,0.04759,45.49,27.172,3.82136,519.13066,11.6259,42.76,22.55107,2542859
