SV,"-88.17,13.12 0.18,0.67 -1.4,1.3 -2.27,0.58"
GQ,"11.22,1.12 0,0.87 -1.48,1.23 -1.65,-0.18"
ER,"42.73,12.6 -4.62,5.24 -6.56,1.99 -0.84,-0.25"
EE,"23.53,59.32 0.91,-1.47 3.77,-1.72 3.91,-0.14"
ET,"41.76,3.99 -5.92,0.8 -7.77,5.41 -5.59,10.6 0.13,8.36 0.71,6.75 5.84,3.8"
FK,""
FO,""
FJ,""
FI,"23.81,65.93 -3.51,3.5 5.01,3.26 7.22,-3.2 4.45,-5.04 -2.55,-4.98 0.98,-1.18"
FR,"2.87,42.39 4.03,1.35 4.26,3.42 3.8,4.75 4.88,6.78 2.72,7.18 -0.36,8.67 -7.75,5.78 -4.33,4.08 -4.62,0.89"
GF,"-54.94,2.61 1.6,-0.71 3.01,2.02 0,3.34"
PF,""
TF,""
GA,"10.97,-3.95 4.83,6.04 0.25,5.95 0.25,5.07 -1.4,4.9"
GM,"-17.06,13.02 2.83,0.5 -0.29,0.92"
GE,"46.85,41.27 -3.42,-0.27 -5.36,0.25 -7,2.08"
DE,"6.68,47.15 0,0 3.6,0.17 6.72,1.71 5.26,3.17 7.92,3.64 7.08,6.71 2.74,7.61 1.89,7.35 0.27,6.21 -0.92,3.78 -1.09,2.42 1.08,2.02"
GH,"1.09,6.18 -1.2,4.76 -4.22,3.42 -4.03,-0.88"
GI,""
GR,"22.68,36.24 0.28,4.07 3.62,4.76 3.62,5.71 0.28,5.33 -1.86,4.76 -3.04,3.6"
GL,"-69.16,79.53 53.45,2.21 24.29,-19.5"
GD,""
GP,""
GU,""
GT,"-92.41,14.45 1.97,-0.75 2.84,-0.03 3.6,1.33 3.06,3.4"
GG,""
GN,"-7.98,10.05 -3.47,2.52 -5.8,2.36 -7.06,1.38 -5.42,-0.83 -2.52,-0.83 -0.69,-2.61"
GW,"-15.04,11.44 1.25,0.98 -2.02,1.58"
GY,"-61.29,5.04 4.53,-2.94 4.03,0.91 1.31,3.31"
HT,"-74.28,18.91 1.9,0.8 1.9,-0.72"
HM,""
VA,""
HN,"-89.57,14.42 1.57,-0.64 1.39,-1.31 1.88,-1.54 6.11,0.54 0.76,1.35"
HK,""
HU,"22.46,47.79 -0.39,0.5 -5.39,0.09 -6.31,-0.83 -3.74,-2.02 -2.22,-1.72"
IS,"-24.12,65.81 5.14,-2.74 10.37,-0.41 7.76,0.92"
IN,"77.28,8.15 11.53,13.92 10.59,18.36 2.45,20.89 3.65,22.1 0.18,27.35 -9.02,15.51*92.53,22.4 4.67,5.83 -0.75,5.32 -2.02,4.05 -3.6,5.57 -4.54,5.51 -4.66,4.11 0,0 0,0"
ID,"109.61,1.88 0.95,-5.07 7.37,-4.43 6.48,2.09 3.9,-0.5*95.24,5.74 10.65,-8.73 9.07,-11.83*106.34,-5.85 -1.02,-1.02 9.06,-2.66*119.76,-0.72 -0.14,-5.31 3.33,-3.55*120.39,0.61 0.87,0.89 4.9,0.63*122.15,7.9 3.59,1.51 4.28,-1.58*130.79,-0.65 10.33,-8.49 10.33,-1.96"
IR,"53.4,36.84 7.56,-1.35 7.57,-7.24 8.38,-11.54 -5.04,-6.67 -8.95,0.37 -9.68,3.07 -6.81,2.46 -4.66,1.62"
IQ,"46.28,29.24 2.07,0.94 -1.83,7.98 -5,7.5 -5.11,5.25 -7.57,4.01 -7.32,2.78"
IE,"-8.01,55.28 1.67,-0.65 1.67,-2.68 -2.32,-3.58"
IM,""
IL,"35.07,33.36 -0.25,-0.83 -0.25,-1.41 -0.72,-1.76 -0.9,-2.04 -0.14,-4.13 0.39,-0.16 0.39,0.03"
IT,"6.9,43.75 2.32,0.29 8.31,-3.65 8.87,-6.22 10.13,-3.05 5.02,1.13 6.54,2.02 6.42,2.77 3.84,2.96 0.23,2.06*12.5,37.79 2.51,0.31 2.51,-1.15*8.22,38.92 1.3,0.25 1.37,1.83 -0.21,1.83"
JM,"-76.41,18.19 -2.11,0 -1.46,-0.67"
JP,"129.72,33.1 1.06,-1.78 10.83,2.21 10.83,9.36 15.62,10.07 11.9,12.15 10.58,9.43 9.89,4.49"
JE,""
JO,"38.97,32.02 -0.25,1.23 -2.08,0.32 -3.5,1.17 -4.04,-2.79"
