"Date","Births"
"Sat Mar 19 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8944
"Sun Mar 20 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8243
"Mon Mar 21 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11140
"Tue Mar 22 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11964
"Wed Mar 23 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11637
"Thu Mar 24 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11904
"Fri Mar 25 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11568
"Sat Mar 26 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8957
"Sun Mar 27 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8189
"Mon Mar 28 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11051
"Tue Mar 29 1994 00:00:00 GMT-0500 (Eastern Standard Time)",12154
"Wed Mar 30 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11540
"Thu Mar 31 1994 00:00:00 GMT-0500 (Eastern Standard Time)",11782
"Fri Apr 01 1994 00:00:00 GMT-0500 (Eastern Standard Time)",10630
"Sat Apr 02 1994 00:00:00 GMT-0500 (Eastern Standard Time)",8782
"Sun Apr 03 1994 00:00:00 GMT-0500 (Eastern Standard Time)",7530
"Mon Apr 04 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",10909
"Tue Apr 05 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11876
"Wed Apr 06 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11811
"Thu Apr 07 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11718
"Fri Apr 08 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11532
"Sat Apr 09 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8791
"Sun Apr 10 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8183
"Mon Apr 11 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11060
"Tue Apr 12 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12146
"Wed Apr 13 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11428
"Thu Apr 14 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11709
"Fri Apr 15 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11753
"Sat Apr 16 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8790
"Sun Apr 17 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",7867
"Mon Apr 18 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11094
"Tue Apr 19 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11966
"Wed Apr 20 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11585
"Thu Apr 21 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11509
"Fri Apr 22 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11553
"Sat Apr 23 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8613
"Sun Apr 24 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8089
"Mon Apr 25 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",10909
"Tue Apr 26 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12236
"Wed Apr 27 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11701
"Thu Apr 28 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11527
"Fri Apr 29 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11474
"Sat Apr 30 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8621
"Sun May 01 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8145
"Mon May 02 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11169
"Tue May 03 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12023
"Wed May 04 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11754
"Thu May 05 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11958
"Fri May 06 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11904
"Sat May 07 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8641
"Sun May 08 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8203
"Mon May 09 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",10914
"Tue May 10 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11771
"Wed May 11 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11278
"Thu May 12 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11822
"Fri May 13 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11085
"Sat May 14 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8830
"Sun May 15 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8253
"Mon May 16 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11103
"Tue May 17 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12289
"Wed May 18 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11668
"Thu May 19 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11411
"Fri May 20 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11645
"Sat May 21 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8830
"Sun May 22 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8449
"Mon May 23 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11434
"Tue May 24 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12562
"Wed May 25 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12005
"Thu May 26 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11979
"Fri May 27 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12132
"Sat May 28 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8840
"Sun May 29 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8205
"Mon May 30 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8468
"Tue May 31 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11525
"Wed Jun 01 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12349
"Thu Jun 02 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12166
"Fri Jun 03 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11799
"Sat Jun 04 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9182
"Sun Jun 05 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8289
"Mon Jun 06 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11130
"Tue Jun 07 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12145
"Wed Jun 08 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11784
"Thu Jun 09 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11648
"Fri Jun 10 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12006
"Sat Jun 11 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8618
"Sun Jun 12 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8171
"Mon Jun 13 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",10692
"Tue Jun 14 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12074
"Wed Jun 15 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11954
"Thu Jun 16 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11852
"Fri Jun 17 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11744
"Sat Jun 18 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8907
"Sun Jun 19 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8302
"Mon Jun 20 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11337
"Tue Jun 21 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12182
"Wed Jun 22 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12213
"Thu Jun 23 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11939
"Fri Jun 24 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11979
"Sat Jun 25 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9047
"Sun Jun 26 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8306
"Mon Jun 27 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11309
"Tue Jun 28 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12211
"Wed Jun 29 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12245
"Thu Jun 30 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12157
"Fri Jul 01 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12454
"Sat Jul 02 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9268
"Sun Jul 03 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8298
"Mon Jul 04 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8564
"Tue Jul 05 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11609
"Wed Jul 06 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",13086
"Thu Jul 07 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",13049
"Fri Jul 08 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12623
"Sat Jul 09 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9325
"Sun Jul 10 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8684
"Mon Jul 11 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11567
"Tue Jul 12 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12507
"Wed Jul 13 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12134
"Thu Jul 14 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12485
"Fri Jul 15 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12691
"Sat Jul 16 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9547
"Sun Jul 17 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8848
"Mon Jul 18 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11561
"Tue Jul 19 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12583
"Wed Jul 20 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12378
"Thu Jul 21 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12447
"Fri Jul 22 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12486
"Sat Jul 23 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9463
"Sun Jul 24 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8734
"Mon Jul 25 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11757
"Tue Jul 26 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12591
"Wed Jul 27 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12423
"Thu Jul 28 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12539
"Fri Jul 29 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12231
"Sat Jul 30 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9340
"Sun Jul 31 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8590
"Mon Aug 01 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11428
"Tue Aug 02 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12622
"Wed Aug 03 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12147
"Thu Aug 04 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12601
"Fri Aug 05 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12251
"Sat Aug 06 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9336
"Sun Aug 07 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8517
"Mon Aug 08 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11528
"Tue Aug 09 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12643
"Wed Aug 10 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12525
"Thu Aug 11 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12147
"Fri Aug 12 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12479
"Sat Aug 13 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",9474
"Sun Aug 14 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",8926
"Mon Aug 15 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",11391
"Tue Aug 16 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12605
"Wed Aug 17 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12344
"Thu Aug 18 1994 00:00:00 GMT-0400 (Eastern Daylight Time)",12313
